N_SOIL,P_SOIL,K_SOIL,TEMPERATURE,HUMIDITY,ph,RAINFALL,CROP_PRICE,CROP,STATE
90,42,43,20.9,82,6.5,202.9,7000,Rice,Andaman and Nicobar
85,58,41,21.8,80.3,7,226.7,5000,Rice,Andaman and Nicobar
60,55,44,23,82.3,7.8,264,7000,Rice,Andaman and Nicobar
74,35,40,26.5,80.2,7,242.9,7000,Rice,Andaman and Nicobar
69,37,42,23.1,83.4,7.1,251.1,3500,Rice,Andaman and Nicobar
69,55,38,22.7,82.6,5.7,271.3,7500,Rice,Andaman and Nicobar
94,53,40,20.3,82.9,5.7,242,6500,Rice,Andaman and Nicobar
89,54,38,24.5,83.5,6.7,230.4,10000,Rice,Andaman and Nicobar
68,58,38,23.2,83,6.3,221.2,11000,Rice,Andaman and Nicobar
91,53,40,26.5,81.4,5.4,264.6,9000,Rice,Andaman and Nicobar
90,46,42,24,81.5,7.5,250.1,5600,Rice,Andaman and Nicobar
78,58,44,26.8,80.9,5.1,284.4,6000,Rice,Andaman and Nicobar
93,56,36,24,82.1,7,185.3,3000,Rice,Andaman and Nicobar
94,50,37,25.7,80.7,6.9,209.6,3000,Rice,Andaman and Nicobar
60,48,39,24.3,80.3,7,231.1,620,Rice,Andhra Pradesh
85,38,41,21.6,82.8,6.2,276.7,300,Rice,Andhra Pradesh
91,35,39,23.8,80.4,7,206.3,760,Rice,Andhra Pradesh
77,38,36,21.9,80.2,6,224.6,4600,Rice,Andhra Pradesh
88,35,40,23.6,83.6,5.9,291.3,1900,Rice,Andhra Pradesh
89,45,36,21.3,80.5,6.4,185.5,1950,Rice,Andhra Pradesh
76,40,43,25.2,83.1,5.1,231.4,1760,Rice,Andhra Pradesh
67,59,41,21.9,81,6,213.4,7000,Rice,Assam
83,41,43,21.1,82.7,6.3,233.1,2400,Rice,Assam
98,47,37,23.5,81.3,7.4,224.1,2800,Rice,Assam
66,53,41,25.1,80.5,7.8,257,6400,Rice,Assam
97,59,43,26.4,84,6.3,271.4,850,Rice,Assam
97,50,41,24.5,80.5,7.1,260.3,850,Rice,Assam
60,49,44,20.8,84.5,6.2,240.1,350,Rice,Assam
84,51,35,22.3,80.6,6,198,1050,Rice,Assam
73,57,41,21.4,84.9,5.8,272.2,1450,Rice,Assam
92,35,40,22.2,80.3,6.4,200.1,4100,Rice,Assam
85,37,39,24.5,82.7,6.4,224.7,1550,Rice,Assam
98,53,38,20.3,81.6,5,270.4,2900,Rice,Assam
88,54,44,25.7,83.9,6.1,233.1,2250,Rice,Assam
95,55,42,26.8,82.1,6,193.3,3600,Rice,Assam
99,57,35,26.8,81.2,6,272.3,950,Rice,Assam
95,39,36,23.9,83.2,5.6,285.2,650,Rice,Assam
60,43,44,21,83,7.4,298.4,650,Rice,Assam
63,44,41,24.2,83.7,5.6,257,850,Rice,Assam
62,42,36,22.8,82.1,6.4,248.7,1150,Rice,Assam
64,45,43,25.6,83.5,5.5,209.9,4400,Rice,Assam
83,60,36,25.6,80.1,6.9,200.8,6400,Rice,Assam
82,40,40,23.8,84.8,6.3,298.6,2800,Rice,Assam
85,52,45,26.3,82.4,7.2,265.5,2370,Rice,Assam
91,35,38,24.9,80.5,6.1,183.7,2400,Rice,Assam
76,49,42,25,84.5,5.2,197,4500,Rice,Assam
74,39,38,23.2,84.6,7.8,233,2500,Rice,Assam
79,43,39,21.7,80.7,7.1,210.8,2300,Rice,Assam
88,55,45,24.6,80.4,7.7,253.7,5000,Rice,Assam
60,36,43,23.4,83.1,5.3,219.9,6600,Rice,Assam
76,60,39,20,80.3,6.8,208.6,6200,Rice,Assam
93,56,42,23.9,82.2,7.4,195.1,1200,Rice,Assam
65,60,43,22,81.9,5.7,227.4,550,Rice,Assam
95,52,36,26.2,83.8,5.5,286.5,3200,Rice,Assam
75,38,39,23.4,84.8,6.2,283.9,2800,Rice,Assam
74,54,38,25.7,83.5,7.1,217.4,5500,Rice,Assam
91,36,45,24.4,82.5,6,268,1300,Rice,Assam
71,46,40,20.3,82.1,7.2,192,500,Rice,Assam
99,55,35,21.7,80.2,6.5,278,1000,Rice,Assam
72,40,38,20.4,82.2,7.6,245.2,1900,Rice,Assam
83,58,45,25.8,83.5,5.9,245.7,2000,Rice,Assam
93,58,38,20.6,83.8,6.9,279.5,4500,Rice,Assam
70,36,42,21.8,80.7,6.9,202.4,1600,Rice,Assam
76,47,42,20.1,83.3,5.7,263.6,1100,Rice,Assam
99,41,36,24.5,82.7,6.7,182.6,700,Rice,Assam
99,54,37,21.1,80.3,5.6,198.7,900,Rice,Assam
86,59,35,25.8,82.1,6.9,243.5,1100,Rice,Assam
69,46,41,23.6,80.3,5,263.1,4100,Rice,Assam
91,56,37,23.4,80.6,6.4,269.5,1450,Rice,Assam
61,52,41,25,83.9,6.9,204.8,2200,Rice,Assam
67,45,38,22.7,82.2,7.3,260.9,5850,Rice,Assam
79,42,37,24.9,82.8,6.6,295.6,750,Rice,Assam
78,43,42,21.3,83,7.3,192.3,700,Rice,Assam
75,54,36,26.3,84.6,7,257.5,2000,Rice,Assam
97,36,45,22.2,81.9,6.9,278.1,3900,Rice,Assam
67,47,44,26.7,81.8,7.9,280.4,1800,Rice,Assam
73,35,38,24.9,82,5,185.9,4100,Rice,Assam
77,36,37,26.9,81.5,6.1,194.6,2400,Rice,Assam
81,41,38,22.7,83.7,7.5,200.9,2800,Rice,Assam
68,57,43,26.1,80.4,5.7,182.9,4200,Rice,Chattisgarh
72,45,35,25.4,82.9,5.8,195.4,1500,Rice,Chattisgarh
61,53,43,26.4,81.1,6.3,223.4,1500,Rice,Chattisgarh
67,43,39,26,85,6,186.8,1500,Rice,Chattisgarh
67,58,39,25.3,80.5,5.5,220.1,4900,Rice,Chattisgarh
66,60,38,22.1,83.5,6.4,231.7,19500,Rice,Goa
81,53,42,23.7,81,5.2,233.7,1550,Rice,Gujarat
91,50,40,20.8,84.1,6.5,230.2,1100,Rice,Gujarat
93,53,38,26.9,81.9,7.1,290.7,1300,Rice,Gujarat
90,44,38,23.8,83.9,7.5,241.2,1600,Rice,Gujarat
81,45,35,26.5,80.1,6.2,218.9,1300,Rice,Gujarat
78,40,38,26.5,83.9,7.5,248.2,2080,Rice,Gujarat
60,51,36,22.7,82.8,6,257,2015,Rice,Gujarat
88,46,42,22.7,83.5,6.6,194.3,4870,Rice,Gujarat
93,47,37,21.5,82.1,6.5,295.9,3425,Rice,Gujarat
60,55,45,21.4,83.3,5.9,287.6,1850,Rice,Gujarat
78,35,44,26.5,84.7,7.1,183.6,650,Rice,Gujarat
65,37,40,23.4,83.6,5.3,188.4,925,Rice,Gujarat
71,54,16,22.6,63.7,5.7,87.8,2600,Maize,Gujarat
61,44,17,26.1,71.6,6.9,102.3,825,Maize,Gujarat
80,43,16,23.6,71.6,6.7,66.7,1100,Maize,Gujarat
73,58,21,20,57.7,6.6,60.7,825,Maize,Gujarat
61,38,20,18.5,62.7,6,65.4,3425,Maize,Gujarat
68,41,16,21.8,57.8,6.2,102.1,2175,Maize,Gujarat
93,41,17,25.6,66.5,6,105.5,3475,Maize,Gujarat
89,60,19,25.2,66.7,5.9,78.1,2825,Maize,Gujarat
76,44,17,20.4,62.6,5.9,65.3,6100,Maize,Gujarat
67,60,25,24.9,66.8,5.8,109.2,3000,Maize,Gujarat
70,44,19,23.3,73.5,5.9,94.3,1450,Maize,Gujarat
90,49,21,24.8,68.4,6.5,74.1,3700,Maize,Gujarat
62,52,16,22.3,58.8,7,63.9,825,Maize,Gujarat
92,44,16,18.9,65.8,6.1,94.8,1225,Maize,Gujarat
66,54,21,25.2,60.2,5.9,72.1,1325,Maize,Gujarat
63,58,22,18.3,55.3,6.2,63.7,3475,Maize,Gujarat
70,47,17,24.6,70.4,6.6,104.2,1500,Maize,Gujarat
61,41,17,25.1,65.3,6,76.7,2450,Maize,Gujarat
66,53,19,23.1,60.1,6,65.5,2900,Maize,Gujarat
74,55,19,18.1,62.9,6.3,84.2,3150,Maize,Gujarat
77,57,21,24.9,73.8,6.6,79.7,1425,Maize,Gujarat
99,50,15,18.1,71.1,5.6,88.1,4010,Maize,Gujarat
74,56,22,18.3,66.7,6.8,81,700,Maize,Gujarat
83,45,21,18.8,58.8,5.7,79.8,1450,Maize,Gujarat
100,48,16,25.7,67.2,5.5,74.5,4850,Maize,Gujarat
79,51,16,25.3,68.5,6.6,96.5,4550,Maize,Gujarat
94,39,18,23.9,57.5,5.9,102.8,1900,Maize,Gujarat
75,49,15,21.5,71.5,5.9,102.5,1525,Maize,Gujarat
78,48,22,23.1,63.1,5.6,70.4,1900,Maize,Gujarat
87,54,20,25.6,63.5,6.6,108.8,1800,Maize,Gujarat
87,35,25,21.4,63.2,6.2,65.9,1850,Maize,Gujarat
63,43,19,18.5,55.5,6.6,91,1425,Maize,Gujarat
84,57,25,22.5,68,6.5,64.4,1150,Maize,Gujarat
64,35,23,23,61.9,5.7,63,1100,Maize,Gujarat
60,46,22,24.9,65.6,6.6,87.9,1300,Maize,Gujarat
98,44,21,25.8,74.1,6.5,107.5,3755,Maize,Gujarat
75,56,18,19.4,62.4,5.7,61,1182,Maize,Gujarat
86,55,21,21.5,59.6,6.8,109.8,2927,Maize,Gujarat
98,35,18,23.8,74.8,6.3,91.8,1475,Maize,Gujarat
76,57,18,19,74.5,6.1,94.3,3005,Maize,Gujarat
99,56,17,24.1,73.1,6.2,71.1,3147,Maize,Gujarat
